Hot H,Hot T
0.0,13.0
32.0,21.0
175.0,34.0
189.0,35.0
489.0,65.0
509.0,67.0
533.0,75.0
542.0,78.0
""
Cold H,Cold T
467.0,13.0
497.0,65.0
509.0,67.0
557.0,75.0
572.0,78.0
732.0,110.0
